transaction_id,amount,transaction_type,location,time_of_day,is_fraud
55,598.3020788322741,online,CA,night,1
56,921.9523607880938,in-person,IN,afternoon,0
57,89.40400954986758,online,IN,morning,0
58,196.78687955672606,online,CA,evening,0
59,46.182061621627525,in-person,UK,evening,0
60,326.00500043250105,in-person,US,night,0
61,389.2886123997925,online,US,evening,0
62,272.077682742122,online,US,afternoon,0
63,828.9087716427774,online,US,night,0
64,357.39657336689567,online,UK,afternoon,0
65,281.65357517769337,in-person,UK,afternoon,0
66,543.1533870750902,in-person,UK,morning,0
67,141.78330074978788,online,IN,morning,0
68,802.3947837732857,in-person,CA,morning,0
69,75.47609303609106,online,UK,evening,0
70,986.9000496639168,in-person,US,morning,0
71,772.4725245273607,in-person,UK,afternoon,0
72,199.51696585263824,online,CA,night,0
73,6.516595006478797,online,IN,night,1
74,815.6459670263794,online,US,afternoon,0
75,707.1504865037695,online,IN,evening,0
76,729.2781608729463,in-person,UK,night,0
77,771.4990763392598,in-person,US,afternoon,1
78,74.97060708235627,online,US,afternoon,0
79,359.10726281572835,in-person,UK,afternoon,0
80,116.75319046560459,in-person,UK,night,0
81,863.240322449718,online,CA,night,1
82,623.6748287007304,online,UK,morning,1
83,331.5671268277965,in-person,UK,morning,0
84,64.49479193573761,online,UK,afternoon,0
85,311.67133939394654,online,US,afternoon,0
86,325.8581387047203,in-person,CA,afternoon,0
87,729.876572159726,in-person,US,afternoon,0
88,637.9199138838579,online,UK,night,0
89,887.3255298337502,in-person,CA,morning,0
90,472.74271023678733,online,UK,evening,0
91,120.4746516923634,online,US,afternoon,0
92,713.531542435772,in-person,US,morning,0
93,761.0242635682805,in-person,UK,afternoon,0
94,561.7159203719267,online,CA,night,0
95,771.1962127746065,online,US,evening,0
96,494.30180076802634,online,UK,morning,0
97,523.2100965526121,in-person,IN,morning,0
98,428.1134773401911,online,UK,evening,0
99,26.393707617351094,in-person,UK,night,0
100,108.78353556631114,online,CA,evening,0
101,32.39775650104752,in-person,UK,morning,0
102,636.7740008525166,online,IN,evening,0
103,315.04162509525037,in-person,UK,night,0
104,509.0621204735381,online,IN,night,0
105,907.6589074521669,online,US,afternoon,0
106,250.04293691972606,online,UK,evening,1
107,410.9725401125941,online,CA,evening,0
108,755.7955874045056,in-person,UK,morning,0
109,229.56936732613084,in-person,IN,night,0
110,77.9029299189642,in-person,IN,evening,0
111,290.4617014608543,in-person,CA,morning,0
112,162.06006596675041,in-person,IN,afternoon,0
113,929.7679546902305,online,UK,evening,0
114,808.3122591848526,in-person,IN,evening,0
115,633.770352753913,in-person,UK,morning,0
116,871.58912959753,in-person,UK,morning,0
117,803.8684048222153,in-person,IN,night,0
118,187.3834888271498,online,CA,night,0
119,892.6664394914878,online,US,night,0
120,539.802899673735,online,CA,evening,0
121,807.6327150088985,online,US,morning,0
122,896.1952086235698,in-person,CA,night,0
123,318.68547149689203,in-person,UK,evening,0
124,110.94187260314908,online,UK,night,0
125,228.70722737939974,online,IN,afternoon,0
126,427.68068083763006,in-person,US,evening,0
127,818.1967511565706,in-person,US,night,0
128,860.869852673087,online,IN,night,0
129,7.945178400659513,online,CA,afternoon,0
130,511.2365552749882,online,IN,afternoon,0
131,417.9935921456302,online,CA,night,0
132,222.8857026602595,in-person,IN,night,0
133,120.74550196634912,in-person,US,morning,0
134,338.27755623222436,in-person,US,night,0
135,942.9667942086066,online,CA,night,0
136,323.87972908873445,in-person,US,morning,0
137,519.2718311216228,in-person,US,morning,0
138,703.3159399362827,online,US,night,1
139,364.2659727769147,online,US,morning,0
140,971.8103006382397,online,UK,evening,0
141,962.4848476471691,online,IN,afternoon,0
142,252.53051352953878,online,IN,evening,0
143,497.7512573864931,online,UK,afternoon,0
144,301.5774315069529,in-person,US,afternoon,0
145,285.55565388309014,in-person,IN,night,0
146,37.85006040717826,in-person,IN,afternoon,0
147,609.9547696459169,in-person,IN,evening,0
148,503.17634420563263,in-person,CA,night,0
149,52.42727249873936,in-person,UK,morning,0
150,279.36781777237485,online,CA,evening,0
151,908.3576200806871,online,CA,night,0
152,240.32232877630545,online,UK,afternoon,0
153,145.74997721913186,in-person,IN,evening,0
154,489.96330751728544,in-person,CA,afternoon,0
155,985.6648036564901,online,IN,night,0
156,242.81321623998892,online,CA,night,0
157,672.4634118584727,online,IN,morning,0
158,761.8579957133888,online,US,morning,0
159,238.39990644840728,online,US,evening,0
160,728.4881322632477,in-person,US,morning,0
161,368.415349586534,in-person,UK,afternoon,0
162,632.673524762986,in-person,US,afternoon,0
163,633.8961810501338,online,CA,morning,0
164,536.2389093906837,in-person,IN,morning,0
165,91.1994802843539,online,IN,morning,0
166,835.4671930936487,in-person,IN,evening,0
167,321.4592849067641,online,IN,evening,0
168,187.33199188945437,online,CA,afternoon,0
169,41.73436641320915,in-person,IN,evening,1
170,591.3020502450536,in-person,CA,evening,0
171,677.8867974804401,in-person,CA,night,0
172,17.571241098928297,in-person,IN,afternoon,0
173,512.5809652409818,in-person,IN,afternoon,0
174,227.26927942274003,online,IN,morning,0
175,645.5276176190404,in-person,CA,night,0
176,175.19206257598645,in-person,UK,morning,0
177,691.2468003643635,online,CA,evening,1
178,387.34861095423685,in-person,UK,afternoon,0
179,936.7932587479978,online,IN,evening,0
180,138.38342320184725,in-person,CA,evening,0
181,341.72528469920826,in-person,IN,night,0
182,114.36004771934849,online,UK,night,0
183,924.7689246602843,in-person,UK,afternoon,0
184,877.4620140276,in-person,CA,afternoon,0
185,258.68368608744044,in-person,CA,night,0
186,660.3240619881449,in-person,CA,night,0
187,817.4049780010146,online,CA,night,0
188,555.6456107878629,online,US,night,0
189,530.1209277776504,in-person,US,afternoon,0
190,242.61043860955124,in-person,IN,afternoon,0
191,94.00966503809332,online,UK,evening,0
192,897.3185421953734,online,UK,evening,1
193,900.5176391061672,in-person,IN,evening,0
194,633.4683558159946,online,IN,afternoon,0
195,339.69076125765196,online,IN,morning,0
196,349.8603650380482,online,US,evening,0
197,726.2297231913691,online,IN,morning,0
198,897.2131496926245,in-person,UK,morning,0
199,887.1993378408522,online,IN,morning,0
200,780.0956703117662,in-person,CA,night,0
201,642.3896145081335,in-person,UK,afternoon,0
202,85.05582503005378,online,UK,afternoon,0
203,162.46708538051917,in-person,UK,evening,0
204,898.6556343385522,in-person,US,evening,0
205,606.8226305999303,online,US,afternoon,0
206,10.187854565013017,online,UK,night,0
207,102.37007132316607,online,CA,afternoon,0
208,663.8382673389477,in-person,UK,morning,0
209,6.056522262372468,in-person,US,afternoon,0
210,161.64724336608114,in-person,CA,night,0
211,549.1850555772195,in-person,UK,afternoon,0
212,692.2033024950006,online,US,afternoon,0
213,652.3092982430979,in-person,CA,afternoon,0
214,225.04504015109922,online,IN,morning,0
215,712.4670421261883,online,IN,evening,0
216,238.01183840930327,online,UK,night,0
217,326.07429846110847,online,IN,morning,0
218,746.7449137129062,in-person,US,afternoon,0
219,649.9832661481674,online,CA,afternoon,0
220,849.3741870836838,in-person,UK,evening,0
221,657.955279408043,online,CA,evening,0
222,568.7402947321361,online,CA,evening,0
223,94.58109306026438,online,CA,morning,0
224,368.3480872563741,in-person,US,night,0
225,265.93716531404374,online,UK,evening,0
226,244.74565373570448,online,IN,afternoon,1
227,973.0375441976931,online,CA,night,0
228,393.7046269420936,online,CA,afternoon,0
229,892.1545086219362,in-person,CA,afternoon,0
230,631.5074873712656,in-person,US,night,0
231,795.0164922381068,online,IN,morning,0
232,503.1344560120869,online,CA,night,0
233,577.3269807417328,in-person,US,evening,0
234,493.02517612504505,in-person,US,night,0
235,196.04774481024646,in-person,CA,evening,0
236,722.7296631462439,online,CA,evening,0
237,281.49159007841496,in-person,US,night,0
238,25.291650465022386,online,US,night,0
239,645.8268236112607,in-person,CA,evening,0
240,177.9335687276419,in-person,US,afternoon,0
241,940.5181257685614,online,US,night,0
242,953.9746484255847,in-person,CA,morning,1
243,914.949525830228,online,CA,evening,0
244,370.78854155518894,in-person,UK,afternoon,0
245,16.441159912338563,online,IN,night,0
246,928.3902440251377,in-person,CA,night,0
247,428.755964168997,in-person,CA,afternoon,0
248,966.6881642246259,online,CA,morning,0
249,963.6563571121636,online,IN,evening,0
250,853.1564460118927,online,UK,night,0
251,295.1544431775161,online,US,morning,0
252,385.71263087332335,in-person,IN,evening,1
253,851.2855348453401,in-person,CA,morning,0
254,317.6050831511214,in-person,CA,evening,0
255,170.32325393940638,in-person,UK,evening,0
256,557.2444611958919,in-person,UK,morning,0
257,936.2186193866202,in-person,UK,evening,0
258,696.333766878298,online,US,night,0
259,570.4911089192756,in-person,IN,night,0
260,98.07931727699777,in-person,IN,morning,0
261,615.3922194724705,online,UK,morning,0
262,990.063796254159,in-person,US,evening,0
263,140.9439312212875,in-person,IN,evening,0
264,518.811322711373,in-person,CA,morning,0
265,877.4956988560275,online,CA,afternoon,0
266,741.0278491364502,online,CA,morning,0
267,697.3187252542727,in-person,IN,afternoon,0
268,702.7815999031221,online,UK,afternoon,0
269,360.13166006853544,in-person,CA,morning,0
270,294.2982524202289,in-person,UK,morning,0
271,809.5517943230351,in-person,US,morning,0
272,810.3032812845016,online,CA,afternoon,0
273,867.2052462615236,in-person,US,night,0
274,913.3273120039148,in-person,UK,night,0
275,511.83105646207684,in-person,IN,morning,0
276,502.0147783925124,in-person,UK,morning,1
277,798.4968837878084,in-person,CA,evening,0
278,650.3139668469873,online,CA,evening,0
279,702.2649103804456,in-person,UK,evening,0
280,795.996876766665,online,CA,morning,0
281,890.1153364757487,in-person,CA,night,0
282,338.65716169468425,online,US,night,0
283,376.2073696873041,in-person,IN,morning,0
284,94.88795790102813,in-person,UK,morning,0
285,578.7018608551778,online,US,afternoon,0
286,36.906331522945344,online,CA,afternoon,0
287,466.1324201143277,in-person,US,night,0
288,543.1019900728691,online,IN,evening,0
289,287.25471087615614,online,UK,night,0
290,591.2424273084417,in-person,IN,afternoon,0
291,31.46974968911038,in-person,IN,night,0
292,38.3108405604652,in-person,US,afternoon,0
293,822.7779600989986,in-person,US,afternoon,0
294,360.8304507698516,in-person,IN,evening,0
295,127.9334521392329,online,CA,evening,0
296,522.7210167947495,in-person,UK,afternoon,0
297,770.2235595455122,online,CA,morning,0
298,216.60520646934634,in-person,CA,evening,0
299,623.2675853431813,in-person,UK,afternoon,0
300,86.26211752877423,online,US,morning,0
301,52.63003944743909,in-person,CA,morning,0
302,531.8232769365799,online,US,night,0
303,541.0944864884964,online,UK,night,0
304,637.7924715967083,online,CA,evening,0
305,726.3652423889389,in-person,US,morning,0
306,975.8762273830721,in-person,US,evening,0
307,516.7840479528941,in-person,CA,afternoon,0
308,323.6335164683047,in-person,UK,evening,0
309,795.391008573935,in-person,IN,morning,0
310,271.56141901081213,in-person,US,night,0
311,439.53244928493046,online,UK,evening,0
312,79.37792496092369,in-person,CA,night,0
313,26.325392672042053,in-person,US,evening,0
314,962.6857662632472,in-person,US,afternoon,0
315,836.1441403916937,in-person,US,morning,0
316,696.2782318876043,online,UK,evening,0
317,409.5439914698556,online,US,afternoon,0
318,174.12102575077492,online,US,afternoon,0
319,157.28060562841495,online,CA,afternoon,0
320,250.99265526643075,online,US,night,0
321,549.6774380414143,in-person,UK,night,0
322,714.8813267773622,online,CA,afternoon,0
323,660.5371793410135,online,IN,afternoon,0
324,280.6539630489969,in-person,CA,evening,0
325,954.9104153825309,in-person,US,evening,0
326,738.1590197790728,online,IN,morning,0
327,554.7996984588893,in-person,CA,evening,0
328,612.1090254881179,in-person,US,morning,0
329,420.18046236536213,online,CA,morning,0
330,248.48325851165632,in-person,UK,morning,0
331,356.6167059726103,online,US,night,0
332,758.0882643539047,online,UK,evening,0
333,15.379095141126113,in-person,US,afternoon,0
334,116.95656786640932,online,UK,morning,0
335,46.956639379730994,online,IN,afternoon,0
336,41.688073516651166,in-person,UK,morning,0
337,855.6051234269962,in-person,CA,evening,0
338,703.9542015206437,in-person,US,morning,0
339,474.6996552582379,in-person,CA,evening,0
340,98.73632649035048,online,UK,afternoon,0
341,492.12425924171555,in-person,US,evening,0
342,473.9982990097851,in-person,UK,afternoon,0
343,174.02866804010517,online,IN,evening,0
344,434.4177975887351,online,IN,morning,0
345,399.1062296629761,online,IN,morning,0
346,616.2342479541643,online,UK,evening,0
347,635.4585572167762,in-person,UK,afternoon,0
348,46.25870576227247,in-person,IN,afternoon,0
349,375.23800201184474,online,UK,afternoon,0
350,626.2340557985221,online,CA,evening,0
351,503.63312232150764,online,UK,evening,0
352,856.633351347134,online,CA,evening,0
353,659.0349379873261,in-person,IN,evening,0
354,163.77149265434826,online,UK,afternoon,0
355,71.49817865302941,in-person,IN,afternoon,0
356,642.7768589281093,online,US,night,0
357,27.484799231080192,in-person,UK,evening,0
358,586.1898056921898,in-person,UK,night,0
359,940.2900111835327,in-person,IN,evening,0
360,575.898703698003,in-person,IN,night,0
361,388.7817562803154,online,IN,afternoon,0
362,643.6449302239108,in-person,US,afternoon,0
363,458.7946376010251,online,US,night,0
364,546.071172526619,in-person,IN,morning,0
365,941.5233439677486,in-person,UK,evening,0
366,386.71653516297346,online,UK,night,0
367,961.2293732600903,online,IN,night,1
368,905.4452913141076,in-person,CA,morning,0
369,196.59534365450713,in-person,US,afternoon,0
370,70.2919395742903,online,US,night,0
371,101.67722337604923,in-person,CA,afternoon,0
372,19.203603825898178,online,IN,evening,0
373,95.34851779517247,online,UK,morning,0
374,683.3237666429405,online,UK,afternoon,0
375,72.11745981176875,in-person,US,night,0
376,319.6566546634675,in-person,CA,morning,1
377,845.0304356584851,online,UK,morning,0
378,24.24866380009004,online,US,morning,0
379,814.6540141063468,online,UK,morning,0
380,282.5729199986265,online,UK,morning,0
381,119.0466627940346,in-person,UK,evening,0
382,697.0404281987865,online,US,evening,0
383,629.3139039331041,in-person,CA,morning,0
384,877.5945415135259,online,IN,night,0
385,735.3359727600819,in-person,CA,night,0
386,803.6774494544637,in-person,UK,evening,0
387,282.7525379987352,in-person,CA,afternoon,0
388,178.2621042359431,in-person,UK,morning,0
389,750.8641368892174,in-person,US,night,0
390,807.0279045279967,online,US,evening,0
391,990.5146368586726,online,US,evening,0
392,413.20505923451503,in-person,UK,afternoon,0
393,372.6460677069904,online,CA,afternoon,0
394,776.6365477812549,online,IN,night,1
395,341.4627367127648,online,IN,afternoon,0
396,930.8265682779612,online,US,afternoon,0
397,858.5543390911688,online,IN,morning,0
398,429.56503334764335,online,UK,evening,0
399,751.1201967237058,online,CA,evening,1
400,754.7883312105977,in-person,IN,afternoon,0
401,104.02074496709668,online,IN,evening,0
402,902.6503537728871,online,CA,evening,0
403,505.74712007540927,online,IN,night,0
404,826.6310086416339,in-person,CA,evening,0
405,320.72955142958114,in-person,UK,afternoon,0
406,895.6277052677043,online,UK,night,0
407,389.81247705542893,in-person,UK,evening,0
408,11.826813828818063,in-person,US,evening,0
409,905.4765944428444,online,UK,night,0
410,92.19539010934743,in-person,IN,night,0
411,319.99432395282446,online,US,evening,0
412,950.1119050837541,in-person,US,morning,0
413,950.6565397906186,online,US,morning,0
414,573.8644502351628,in-person,UK,evening,0
415,632.2053749576295,online,US,evening,0
416,448.99707645634146,online,UK,night,0
417,293.9175609263665,in-person,UK,night,0
418,329.33588082454605,online,US,evening,0
419,672.8459376209614,online,US,evening,0
420,752.6221549082424,in-person,IN,evening,0
421,791.7874646821227,online,US,evening,0
422,789.8285246517594,online,UK,morning,0
423,92.11489694564168,in-person,IN,night,0
424,494.92588439787886,online,IN,afternoon,0
425,58.50120125662764,in-person,UK,evening,0
426,549.9793534414118,online,US,evening,0
427,442.08897087200364,in-person,US,evening,0
428,887.8164785755415,in-person,CA,afternoon,0
429,351.5640975395266,online,US,night,0
430,117.94994941117825,in-person,CA,night,0
431,143.84869037078303,online,IN,evening,0
432,761.7491210857547,online,IN,evening,0
433,618.5998452529448,in-person,IN,night,0
434,102.02155344666745,online,CA,afternoon,0
435,85.02269930888244,online,UK,evening,0
436,701.2681623276609,in-person,UK,afternoon,0
437,73.69024335782933,online,IN,afternoon,0
438,822.0381992310658,online,CA,night,0
439,706.5359849293397,in-person,CA,evening,0
440,82.26743186125786,online,IN,morning,0
441,85.75287637110672,online,US,night,0
442,986.6529389226743,in-person,IN,night,0
443,374.8965249603642,online,CA,morning,0
444,371.271504919824,online,US,evening,0
445,812.9867676902451,in-person,UK,afternoon,1
446,947.3013288064749,online,US,afternoon,0
447,986.0150627590481,online,UK,afternoon,0
448,753.6248070736826,in-person,CA,evening,0
449,376.88332594538485,in-person,IN,night,0
450,84.4172159819701,online,IN,night,1
451,777.3697690115093,online,IN,night,0
452,558.8458454860693,in-person,IN,night,0
453,424.7977872377293,online,IN,night,0
454,906.4480307096412,online,CA,morning,0
455,112.08628482384519,online,CA,afternoon,0
456,493.1324791865683,in-person,IN,afternoon,0
457,12.34229112265165,online,US,evening,0
458,469.19198135213213,online,IN,morning,0
459,57.246972406155514,in-person,UK,night,0
460,119.69909835180385,in-person,UK,night,0
461,118.40872053032777,in-person,UK,night,0
462,649.5610918139475,online,UK,morning,0
463,746.2988343861579,online,IN,evening,0
464,583.7853963320624,in-person,UK,morning,0
465,962.2103759260674,online,US,evening,0
466,375.49570894418036,online,IN,afternoon,0
467,286.4263741955789,online,UK,evening,0
468,868.7305290612708,online,IN,afternoon,0
469,224.3722426809332,in-person,IN,evening,0
470,963.2593169011707,in-person,IN,afternoon,0
471,13.142320215126524,online,CA,afternoon,0
472,969.9089478809314,in-person,UK,night,0
473,44.116752038625535,online,CA,evening,0
474,891.251970584373,online,US,night,0
475,528.1734079772135,in-person,US,afternoon,0
476,992.971831323181,in-person,CA,night,0
477,74.72276817066346,online,UK,morning,0
478,554.3004301169194,online,IN,night,0
479,969.3332330834799,online,US,evening,0
480,523.5747463259787,online,US,night,0
481,629.7692394971273,in-person,US,morning,0
482,696.0529402956325,in-person,UK,night,0
483,455.08652370300547,online,CA,afternoon,0
484,627.9305220039794,online,CA,afternoon,0
485,584.7299976111772,in-person,UK,afternoon,0
486,901.256852480498,online,US,evening,0
487,46.400933961116415,in-person,UK,night,0
488,281.6822264026381,online,UK,afternoon,0
489,950.4610725924822,in-person,CA,night,0
490,890.3735201070255,online,UK,morning,0
491,456.20109603292724,online,UK,morning,0
492,620.5124652037352,online,US,evening,0
493,278.10380179815155,in-person,IN,night,0
494,188.93303856403756,in-person,US,morning,0
495,464.23470653504216,online,CA,evening,0
496,353.99887579802675,online,IN,evening,0
497,584.0724557390212,online,US,afternoon,0
498,78.65690232801985,online,UK,morning,0
499,974.4204128585003,in-person,UK,night,0
500,986.2245337351233,in-person,IN,morning,0
501,698.4635523057254,in-person,IN,morning,0
502,536.5602699777762,online,UK,night,0
503,310.2180886700414,online,CA,night,1
504,813.9812246872417,in-person,US,afternoon,0
505,685.0464413813254,online,UK,evening,0
506,163.4543224055464,in-person,US,night,0
507,911.0162573093486,in-person,US,night,0
508,822.7147056802459,in-person,US,morning,0
509,949.8501133786322,in-person,US,night,0
510,725.9937888799716,online,CA,night,0
511,613.801780739854,in-person,CA,morning,0
512,418.82479325432826,online,CA,morning,0
513,932.7957548706593,in-person,UK,morning,0
514,866.1978256109079,in-person,UK,afternoon,0
515,46.17345143608322,in-person,UK,evening,0
516,27.340607522754752,in-person,CA,night,0
517,377.08690351117156,online,US,morning,1
518,810.7427774510511,online,CA,morning,0
519,987.2888531856295,online,UK,evening,0
520,151.26647421242467,online,IN,afternoon,0
521,594.536584636783,in-person,UK,night,0
522,381.5099657743905,online,US,afternoon,0
523,969.9444834167886,online,CA,afternoon,0
524,842.276804212573,in-person,IN,afternoon,0
525,838.4903760064267,online,IN,morning,0
526,469.2244666351753,online,US,evening,0
527,415.4046828353275,online,CA,evening,0
528,274.13366485877555,online,IN,evening,0
529,57.31912115427619,in-person,UK,afternoon,0
530,864.8576538787981,in-person,US,night,0
531,813.0881081209475,online,IN,afternoon,0
532,999.7179556128444,in-person,US,evening,0
533,996.6402002368314,online,CA,morning,0
534,555.8762738970248,online,CA,afternoon,0
535,769.21842776533,online,CA,morning,0
536,944.8209641525456,in-person,UK,evening,0
537,849.7977432867341,in-person,IN,afternoon,0
538,248.10075364145445,in-person,CA,morning,0
539,451.0935911747834,in-person,UK,afternoon,0
540,130.0302557363435,in-person,CA,evening,0
541,954.0969762314636,in-person,CA,night,0
542,606.5684598164291,online,IN,evening,0
543,229.41416269795926,in-person,UK,night,0
544,672.0289837214509,online,CA,night,0
545,618.510112217438,online,UK,evening,0
546,358.80455531480766,in-person,UK,morning,0
547,114.44403460742939,online,CA,afternoon,0
548,671.9016223972068,online,CA,afternoon,0
549,520.7873932028895,online,US,afternoon,0
550,772.5460733439037,in-person,IN,night,0
551,520.6433376108814,in-person,CA,night,0
552,852.3293188182216,online,US,evening,0
553,552.3549319357111,in-person,IN,morning,0
554,561.3770335638509,online,CA,evening,0
555,876.7769490556867,in-person,UK,evening,0
556,404.07938334618467,online,IN,morning,0
557,134.8812132221901,online,UK,night,0
558,29.753893637025634,in-person,US,evening,0
559,755.3821184179454,in-person,CA,evening,0
560,620.6892418021112,in-person,US,night,0
561,704.3756883311244,in-person,CA,afternoon,0
562,213.7511973474018,in-person,CA,morning,0
563,137.235104111183,online,UK,morning,0
564,15.530121002214047,online,US,afternoon,0
565,351.2369712477904,online,UK,morning,0
566,590.3277691677785,in-person,UK,afternoon,0
567,392.8518010546326,in-person,UK,evening,0
568,438.0374471017053,online,US,morning,0
569,904.2545357992547,online,CA,morning,0
570,348.90721155627705,online,CA,evening,0
571,514.475499670651,online,US,night,0
572,783.869359728402,in-person,CA,night,0
573,397.14623953894886,online,US,evening,0
574,622.4646135276456,in-person,US,morning,0
575,862.5013450379985,online,CA,morning,0
576,949.5711030339845,in-person,IN,morning,0
577,147.9264074481089,in-person,UK,afternoon,0
578,926.6610375363329,in-person,US,night,0
579,492.62417678645863,in-person,US,morning,0
580,258.9861439106594,online,IN,night,1
581,459.67662048202305,online,US,night,0
582,980.0525427101916,online,US,morning,0
583,493.12547589887674,in-person,CA,evening,0
584,329.4228586772207,online,CA,evening,0
585,633.7674534624091,online,IN,night,0
586,240.90547315941487,online,US,afternoon,0
587,76.78746478055525,in-person,UK,night,0
588,129.75084218873857,in-person,CA,night,0
589,128.91779311881467,in-person,UK,evening,0
590,152.75079081878206,online,UK,morning,0
591,139.68834547676073,online,IN,morning,0
592,641.2338700584114,online,IN,afternoon,0
593,182.69820431474568,in-person,US,evening,0
594,346.32161604053937,online,IN,evening,0
595,896.8916214961058,in-person,CA,night,0
596,474.4876786226095,in-person,US,evening,0
597,667.8901807825061,in-person,US,night,0
598,173.1475513304282,in-person,UK,afternoon,0
599,193.0967297898621,online,UK,evening,0
600,41.82774765021239,online,UK,evening,0
601,169.7661280090924,in-person,US,night,0
602,279.31174869292664,online,IN,evening,0
603,177.83347379247007,in-person,IN,morning,0
604,89.61383122329856,online,IN,afternoon,0
605,121.5152352295002,online,US,morning,0
606,461.31798926469304,in-person,US,night,0
607,207.12738468738672,in-person,US,night,0
608,364.90559118702737,in-person,US,night,0
609,503.913853584002,in-person,US,afternoon,0
610,690.704433800736,online,IN,evening,0
611,40.27282770125784,in-person,US,morning,0
612,799.6109885101336,online,IN,evening,0
613,628.2724891014169,in-person,US,night,0
614,82.67727291692303,online,IN,evening,0
615,873.7050454826705,in-person,CA,afternoon,0
616,920.9515281312814,online,CA,night,0
617,62.016881895008886,online,IN,evening,0
618,277.6007704990565,online,CA,morning,0
619,806.3950785132682,in-person,CA,night,0
620,748.5114306932747,in-person,IN,night,0
621,185.33649833702094,in-person,US,afternoon,0
622,210.1399740133736,in-person,US,afternoon,0
623,371.1016306885906,online,IN,morning,0
624,485.0384622058303,online,UK,evening,0
625,618.6365167587657,online,UK,evening,0
626,369.5447259302026,in-person,CA,night,0
627,463.07218141701475,online,UK,night,0
628,747.7234671956228,online,CA,evening,0
629,37.646519687707304,in-person,US,evening,0
630,253.18450739967673,in-person,IN,evening,0
631,713.6362362986679,online,US,night,0
632,895.3116308495121,in-person,IN,afternoon,0
633,512.1657646735505,in-person,UK,afternoon,0
634,532.5813717800503,in-person,US,morning,0
635,108.06483932843628,in-person,US,evening,0
636,447.9649544566312,online,CA,evening,1
637,533.0846491885682,online,IN,evening,0
638,243.22803313109492,online,UK,morning,0
639,269.9739877184316,online,US,evening,0
640,377.906878941518,online,IN,afternoon,0
641,21.051126579948644,in-person,UK,evening,0
642,322.75708641759513,online,US,morning,0
643,212.23655898954812,online,IN,night,0
644,328.1698548257367,in-person,CA,night,0
645,120.64236968743197,in-person,US,afternoon,0
646,890.6367534591551,in-person,IN,afternoon,0
647,593.9988611004947,online,UK,afternoon,0
648,679.4232168253451,in-person,UK,night,0
649,789.382067368731,in-person,CA,evening,0
650,498.9437567301282,in-person,US,morning,0
651,87.83336779933627,online,CA,morning,0
652,537.5694352767292,in-person,IN,evening,0
653,587.2542769028582,in-person,UK,night,0
654,745.6940347101456,online,CA,night,0
655,432.2278866834497,in-person,US,morning,0
656,128.4527224927682,online,IN,afternoon,0
657,284.49212989292573,online,US,afternoon,1
658,363.71921410223644,in-person,CA,morning,0
659,646.2713240902697,online,UK,morning,0
660,571.207526364243,in-person,UK,evening,0
661,356.7406291719484,in-person,CA,evening,0
662,986.5287335441867,in-person,US,evening,0
663,606.1690445375302,in-person,US,evening,0
664,237.9895649442585,online,US,evening,0
665,102.68069014778334,in-person,US,evening,1
666,153.7062800451477,in-person,UK,afternoon,0
